facility_id,facility_type,province,date,shift_demand,is_holiday
F001,Hospital,ON,2022-01-01,55.96666666666667,1
F001,Hospital,ON,2022-01-02,93.52499999999999,0
F001,Hospital,ON,2022-01-03,149.625,0
F001,Hospital,ON,2022-01-04,142.71666666666667,0
F001,Hospital,ON,2022-01-05,141.12083333333334,0
F001,Hospital,ON,2022-01-06,136.97916666666666,0
F001,Hospital,ON,2022-01-07,156.4375,0
F001,Hospital,ON,2022-01-08,110.35416666666667,0
F001,Hospital,ON,2022-01-09,106.7625,0
F001,Hospital,ON,2022-01-10,144.93333333333334,0
F001,Hospital,ON,2022-01-11,142.79583333333332,0
F001,Hospital,ON,2022-01-12,139.0875,0
F001,Hospital,ON,2022-01-13,148.09583333333333,0
F001,Hospital,ON,2022-01-14,157.17916666666667,0
F001,Hospital,ON,2022-01-15,103.5,0
F001,Hospital,ON,2022-01-16,101.14166666666667,0
F001,Hospital,ON,2022-01-17,147.02083333333334,0
F001,Hospital,ON,2022-01-18,152.25416666666666,0
F001,Hospital,ON,2022-01-19,129.97916666666666,0
F001,Hospital,ON,2022-01-20,143.9625,0
F001,Hospital,ON,2022-01-21,154.20833333333334,0
F001,Hospital,ON,2022-01-22,100.90416666666665,0
F001,Hospital,ON,2022-01-23,95.15833333333335,0
F001,Hospital,ON,2022-01-24,145.90416666666667,0
F001,Hospital,ON,2022-01-25,144.92499999999998,0
F001,Hospital,ON,2022-01-26,146.4,0
F001,Hospital,ON,2022-01-27,129.48749999999998,0
F001,Hospital,ON,2022-01-28,149.42083333333332,0
F001,Hospital,ON,2022-01-29,108.02916666666665,0
F001,Hospital,ON,2022-01-30,97.16666666666667,0
F001,Hospital,ON,2022-01-31,143.88750000000002,0
F001,Hospital,ON,2022-02-01,149.39166666666668,0
F001,Hospital,ON,2022-02-02,140.07916666666668,0
F001,Hospital,ON,2022-02-03,141.95000000000002,0
F001,Hospital,ON,2022-02-04,152.95000000000002,0
F001,Hospital,ON,2022-02-05,109.23333333333333,0
F001,Hospital,ON,2022-02-06,104.04583333333333,0
F001,Hospital,ON,2022-02-07,156.84166666666667,0
F001,Hospital,ON,2022-02-08,143.4625,0
F001,Hospital,ON,2022-02-09,138.73749999999998,0
F001,Hospital,ON,2022-02-10,133.87083333333334,0
F001,Hospital,ON,2022-02-11,154.64166666666668,0
F001,Hospital,ON,2022-02-12,111.57916666666667,0
F001,Hospital,ON,2022-02-13,103.04166666666667,0
F001,Hospital,ON,2022-02-14,143.19583333333333,0
F001,Hospital,ON,2022-02-15,146.625,0
F001,Hospital,ON,2022-02-16,147.9625,0
F001,Hospital,ON,2022-02-17,141.00833333333333,0
F001,Hospital,ON,2022-02-18,156.46666666666667,0
F001,Hospital,ON,2022-02-19,103.57083333333333,0
F001,Hospital,ON,2022-02-20,68.65416666666667,1
F001,Hospital,ON,2022-02-21,151.2125,0
F001,Hospital,ON,2022-02-22,145.5,0
F001,Hospital,ON,2022-02-23,137.67499999999998,0
F001,Hospital,ON,2022-02-24,142.53333333333333,0
F001,Hospital,ON,2022-02-25,155.17916666666667,0
F001,Hospital,ON,2022-02-26,100.64166666666667,0
F001,Hospital,ON,2022-02-27,104.27499999999999,0
F001,Hospital,ON,2022-02-28,155.17499999999998,0
